[2025-07-26 16:41:12.402657] [ParseArgs] "EnableSimulator" unchanged (false)
[2025-07-26 16:41:12.403177] [ParseArgs] "MCC" unchanged ("001")
[2025-07-26 16:41:12.403199] [ParseArgs] "MNC" unchanged ("01")
[2025-07-26 16:41:12.403204] [Modules] Loading C++ Modules at "modules/exploits/5gnr_gnb"
[2025-07-26 16:41:12.433583] [Modules] --> mac_sch_97_mut5.so loaded
[2025-07-26 16:41:12.433817] [Modules] --> mac_sch_35_mut3.so loaded
[2025-07-26 16:41:12.433849] [Modules] --> mac_sch_166_mut1.so loaded
[2025-07-26 16:41:12.433863] [Modules] --> mac_sch_67_mut5.so loaded
[2025-07-26 16:41:12.433878] [Modules] --> mac_sch_168_mut3.so loaded
[2025-07-26 16:41:12.433891] [Modules] --> mac_sch_139_mut2.so loaded
[2025-07-26 16:41:12.433906] [Modules] --> mac_sch_125_mut1.so loaded
[2025-07-26 16:41:12.433920] [Modules] --> mac_sch_163_mut5.so loaded
[2025-07-26 16:41:12.433934] [Modules] --> mac_sch_43_mut5.so loaded
[2025-07-26 16:41:12.433947] [Modules] --> mac_sch_168_mut1.so loaded
[2025-07-26 16:41:12.444024] [Modules] --> mac_sch_33_mut4.so loaded
[2025-07-26 16:41:12.444075] [Modules] --> mac_sch_194_mut1.so loaded
[2025-07-26 16:41:12.444088] [Modules] --> mac_sch_18_mut54.so loaded
[2025-07-26 16:41:12.444098] [Modules] --> mac_sch_108_mut4.so loaded
[2025-07-26 16:41:12.444107] [Modules] --> mac_sch_99_mut3.so loaded
[2025-07-26 16:41:12.444117] [Modules] --> mac_sch_18_mut16.so loaded
[2025-07-26 16:41:12.444127] [Modules] --> mac_sch_150_mut1.so loaded
[2025-07-26 16:41:12.444139] [Modules] --> mac_sch_138_mut3.so loaded
[2025-07-26 16:41:12.444150] [Modules] --> mac_sch_29_mut7.so loaded
[2025-07-26 16:41:12.444161] [Modules] --> mac_sch_18_mut49.so loaded
[2025-07-26 16:41:12.444172] [Modules] --> mac_sch_20_mut11.so loaded
[2025-07-26 16:41:12.444198] [Modules] --> mac_sch_61_mut4.so loaded
[2025-07-26 16:41:12.444224] [Modules] --> mac_sch_88_mut6.so loaded
[2025-07-26 16:41:12.444230] [Modules] --> mac_sch_43_mut2.so loaded
[2025-07-26 16:41:12.444235] [Modules] --> mac_sch_199_mut3.so loaded
[2025-07-26 16:41:12.444240] [Modules] --> mac_sch_136_mut6.so loaded
[2025-07-26 16:41:12.444245] [Modules] --> mac_sch_18_mut5.so loaded
[2025-07-26 16:41:12.444250] [Modules] --> mac_sch_51_mut1.so loaded
[2025-07-26 16:41:12.444256] [Modules] --> mac_sch_26_mut2.so loaded
[2025-07-26 16:41:12.444261] [Modules] --> mac_sch_17_mut14.so loaded
[2025-07-26 16:41:12.444265] [Modules] --> mac_sch_17_mut11.so loaded
[2025-07-26 16:41:12.444270] [Modules] --> mac_sch_104_mut2.so loaded
